Time,Open,High,Low,Close,Volume,vwap,transactions,otc,Date
08:00:00,1.03255,1.03429,1.0317,1.03241,27528,1.0331,27528,,2022-08-11
12:00:00,1.03247,1.03644,1.02969,1.03374,42643,1.0342,42643,,2022-08-11
16:00:00,1.03372,1.03394,1.0308,1.03168,22926,1.0323,22926,,2022-08-11
20:00:00,1.03168,1.03393,1.03078,1.032,10548,1.0322,10548,,2022-08-11
00:00:00,1.03204,1.0325,1.0303,1.0315,17685,1.0312,17685,,2022-08-12
04:00:00,1.03177,1.03244,1.029,1.02973,22225,1.0313,22225,,2022-08-12
08:00:00,1.02973,1.03085,1.0277,1.02777,27693,1.0294,27693,,2022-08-12
12:00:00,1.02778,1.03226,1.0237,1.02549,37948,1.0266,37948,,2022-08-12
16:00:00,1.02542,1.0268,1.025,1.02604,17952,1.0261,17952,,2022-08-12
20:00:00,1.02601,1.02637,1.025,1.02622,3699,1.0257,3699,,2022-08-12
16:00:00,1.02428,1.02428,1.02428,1.02428,2,1.0243,2,,2022-08-14
20:00:00,1.02528,1.0263,1.02459,1.0254,4354,1.0259,4354,,2022-08-14
00:00:00,1.02532,1.02684,1.0237,1.02519,26217,1.0254,26217,,2022-08-15
04:00:00,1.0252,1.0256,1.02299,1.02343,26192,1.0243,26192,,2022-08-15
08:00:00,1.02338,1.02494,1.0185,1.0196,30595,1.0205,30595,,2022-08-15
12:00:00,1.01953,1.02373,1.018,1.01846,36355,1.0198,36355,,2022-08-15
16:00:00,1.01851,1.02405,1.0153,1.01605,18167,1.0166,18167,,2022-08-15
20:00:00,1.01604,1.02401,1.0152,1.0162,11366,1.0161,11366,,2022-08-15
00:00:00,1.01614,1.01698,1.0146,1.01619,21526,1.0159,21526,,2022-08-16
04:00:00,1.0162,1.01693,1.0132,1.01603,24643,1.0154,24643,,2022-08-16
08:00:00,1.01591,1.01605,1.0121,1.01276,32387,1.0136,32387,,2022-08-16
12:00:00,1.01278,1.01949,1.0124,1.01731,36019,1.0162,36019,,2022-08-16
16:00:00,1.01732,1.0181,1.01545,1.01701,20697,1.0169,20697,,2022-08-16
20:00:00,1.017,1.0175,1.01328,1.01693,9424,1.017,9424,,2022-08-16
00:00:00,1.01691,1.01795,1.0165,1.01731,18947,1.0172,18947,,2022-08-17
04:00:00,1.0173,1.01866,1.0148,1.01667,25620,1.0168,25620,,2022-08-17
08:00:00,1.01664,1.01841,1.015,1.01676,31193,1.017,31193,,2022-08-17
12:00:00,1.01675,1.01985,1.0144,1.01614,36209,1.0166,36209,,2022-08-17
16:00:00,1.01608,1.02028,1.0159,1.018,30375,1.018,30375,,2022-08-17
20:00:00,1.01803,1.01923,1.01593,1.01772,9038,1.0177,9038,,2022-08-17
00:00:00,1.01774,1.0193,1.0166,1.01707,18014,1.0183,18014,,2022-08-18
04:00:00,1.01699,1.01784,1.0145,1.0161,22891,1.0162,22891,,2022-08-18
08:00:00,1.01611,1.01883,1.0157,1.01774,29027,1.0171,29027,,2022-08-18
12:00:00,1.01772,1.01865,1.0111,1.01124,36018,1.0145,36018,,2022-08-18
16:00:00,1.01126,1.0178,1.0079,1.00937,22585,1.0092,22585,,2022-08-18
20:00:00,1.0094,1.01775,1.00791,1.00891,9292,1.009,9292,,2022-08-18
00:00:00,1.00891,1.0101,1.0069,1.008,19704,1.008,19704,,2022-08-19
04:00:00,1.00802,1.00956,1.007,1.00901,24595,1.0082,24595,,2022-08-19
